TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,Description,Category
20,Medialuna,2016-10-30 10:45:22,Morning,Weekend,James,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Annie,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Brandon,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
21,Medialuna,2016-10-30 10:49:29,Morning,Weekend,Clayton,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
21,Bread,2016-10-30 10:49:29,Morning,Weekend,Charlie,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
22,Jam,2016-10-30 10:52:15,Morning,Weekend,Glenn,5,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend,Lisa,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
23,Muffin,2016-10-30 10:53:49,Morning,Weekend,Max,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
24,Bread,2016-10-30 10:54:33,Morning,Weekend,Katrina,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend,Carl,3,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
26,Fudge,2016-10-30 10:56:08,Morning,Weekend,Ruben,2,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend,George,3,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
28,Coffee,2016-10-30 11:03:24,Morning,Weekend,Kimberly,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
28,Bread,2016-10-30 11:03:24,Morning,Weekend,Liz,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
29,Bread,2016-10-30 11:05:30,Morning,Weekend,Lindsay,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
29,Jam,2016-10-30 11:05:30,Morning,Weekend,Oscar,0,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
30,Bread,2016-10-30 11:07:19,Morning,Weekend,Caleb,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
31,Basket,2016-10-30 11:12:56,Morning,Weekend,Elijah,2,"Edible baskets made from cake or pastry dough, filled with fruits, creams, or other confections.",Pure Veg
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend,Owen,0,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
32,Muffin,2016-10-30 11:16:15,Morning,Weekend,Allison,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
33,Coffee,2016-10-30 11:22:49,Morning,Weekend,Jamie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
34,Coffee,2016-10-30 11:25:45,Morning,Weekend,Tommy,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
34,Muffin,2016-10-30 11:25:45,Morning,Weekend,Leonard,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
35,Muffin,2016-10-30 11:27:34,Morning,Weekend,Jackson,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend,Amber,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
36,Tea,2016-10-30 11:33:08,Morning,Weekend,Neil,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
36,Bread,2016-10-30 11:33:08,Morning,Weekend,George,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
37,Coffee,2016-10-30 11:37:10,Morning,Weekend,Margaret,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
37,Bread,2016-10-30 11:37:10,Morning,Weekend,Irene,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
38,Bread,2016-10-30 11:42:40,Morning,Weekend,Eddie,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
38,Tea,2016-10-30 11:42:40,Morning,Weekend,Stacy,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend,Nicholas,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
40,Juice,2016-10-30 11:55:51,Morning,Weekend,Laura,0,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.,Beverages
40,Tartine,2016-10-30 11:55:51,Morning,Weekend,Kyle,2,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
40,Coffee,2016-10-30 11:55:51,Morning,Weekend,Robin,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
40,Muffin,2016-10-30 11:55:51,Morning,Weekend,Evan,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend,Jamie,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
42,Bread,2016-10-30 11:57:45,Morning,Weekend,Angela,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
42,Tea,2016-10-30 11:57:45,Morning,Weekend,Colleen,3,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend,Raymond,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend,Rex,5,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend,Paul,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend,Jimmy,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend,Ellis,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend,Andrew,2,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend,Tommy,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend,Shari,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend,Mary,2,"Convenient, portable snacks for infants and toddlers, offering a variety of pureed fruits and vegetables.",Pure Veg
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend,Samuel,2,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.,Beverages
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend,Jenny,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend,Joshua,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend,Janet,2,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend,Joan,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Eddie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Kenneth,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend,Craig,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed.",Pure Veg
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend,Jeff,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend,Morris,3,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.,Cakes
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend,Amber,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend,Edmund,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend,Brett,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend,Edmund,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend,Joshua,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend,Bruce,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend,Herman,4,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations.",Pure Veg
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend,Jonathan,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend,Ella,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend,Edmund,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend,Dorothy,5,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.,Cakes
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend,Jerry,2,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows.",Beverages
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend,Sidney,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend,Alfred,1,"Warm, comforting soups served alongside cakes for a satisfying meal.",Pure Veg
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend,Derek,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend,Evelyn,5,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread.",Pure Veg
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Willie,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend,Albert,1,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.,Beverages
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Randy,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend,Matthew,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
62,Pecan,2016-10-30 13:24:00,Afternoon,Weekend,Leonard,3,"Customizable bowls filled with a variety of cake bites, candies, fruits, and toppings, allowing for personalized flavor combinations.",Pure Veg
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Stanley,2,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations.",Pure Veg
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Valerie,4,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations.",Pure Veg
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Aaron,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,Eugene,2,"Refreshing blended beverages made from fruits, vegetables, and yogurt or milk, perfect for pairing with cakes for a light meal or snack.",Pure Veg
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Susie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend,Ted,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend,Lloyd,2,"Sweet baked goods made from a mixture of flour, sugar, eggs, and butter or oil, often flavored with extracts, fruits, or spices.",Pure Veg
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend,Cecilia,0,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack.",Sandwiches
65,Fudge,2016-10-30 13:37:25,Afternoon,Weekend,Brianna,3,Protein-rich cakes or snacks designed to provide sustained energy and muscle recovery.,Desserts
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend,Agnes,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend,Sean,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend,Diana,3,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations.",Pure Veg
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend,Joanne,2,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend,Claire,5,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.,Beverages
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend,Douglas,0,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations.",Pure Veg
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend,June,2,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.,Beverages
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend,Thomas,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend,Maxwell,2,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend,Isabelle,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend,Julie,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend,Corey,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend,Jessica,0,"Sandwiches filled with tender, seasoned chicken and a variety of toppings, perfect for a quick and satisfying meal.",Pure Veg
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend,Madeline,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend,Miguel,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend,Lori,0,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.,Cakes
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend,Mildred,3,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend,Kenneth,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend,Willie,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend,Louise,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend,Steven,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend,Alice,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend,Larry,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend,Joe,3,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture.",Desserts
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend,Carla,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend,Michael,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend,Lisa,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains.",Pure Veg
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend,Sally,1,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend,Neil,2,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts.",Desserts
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend,Jean,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness.",Beverages
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend,Lynnette,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend,Josephine,1,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips.",Pure Veg
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend,Cindy,1,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats.",Pure Veg
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend,Jonathan,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior.",Pure Veg
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend,Johnny,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine.",Beverages
